State,Total Households,Urban Households With Internet Pct,Total Households With Internet Pct,Rural Households With Internet Pct,District,Rural Households,Urban Households,Statewise Rural Households,Statewise Urban Households,Statewise Rural Households With Internet Pct,Statewise Urban Households With Internet Pct,Statewise Total Households With Internet Pct,gdp,Area
Andhra Pradesh,12603872.0,45.93,18.13,5.569999999999999,13,8997023.0,3606849.0,692078.6923076923,277449.92307692306,0.4284615384615384,3.5330769230769232,1.3946153846153846,662592,162968.0
Arunachal Pradesh,229006.0,55.29,23.6,12.739999999999998,15,167219.0,61787.0,11147.933333333332,4119.133333333333,0.8493333333333333,3.686,1.5733333333333335,11063,83743.0
Assam,6367295.0,118.91,109.86999999999999,21.85,28,5374517.0,992742.0,191947.0357142857,35455.07142857143,0.7803571428571429,4.246785714285714,3.923928571428571,143175,78438.0
Bihar,18940629.0,92.41999999999997,28.799999999999997,19.249999999999996,38,16926958.0,2013671.0,445446.2631578947,52991.34210526316,0.5065789473684209,2.432105263157894,0.7578947368421052,247144,94163.0
Chandigarh,235061.0,19.29,18.84,3.55,1,6785.0,228276.0,6785.0,228276.0,3.55,19.29,18.84,18768,114.0
Chhattisgarh,5622850.0,56.27000000000001,15.38,3.830000000000001,27,4384112.0,1238738.0,162374.5185185185,45879.18518518518,0.1418518518518519,2.0840740740740746,0.5696296296296297,158074,135191.0
Goa,322813.0,32.29,25.35,14.39,2,124674.0,198139.0,62337.0,99069.5,7.195,16.145,12.675,36025,3702.0
Gujarat,12181718.0,120.65000000000002,55.66,13.86,33,6765403.0,5416315.0,205012.21212121213,164130.75757575757,0.42,3.6560606060606067,1.6866666666666665,615606,196024.0
Haryana,4717954.0,192.92,103.71000000000001,27.339999999999996,21,2966053.0,1751901.0,141240.61904761905,83423.85714285714,1.3019047619047617,9.186666666666666,4.938571428571429,301959,44212.0
Himachal Pradesh,1476581.0,73.24,25.75,18.980000000000004,12,1310538.0,166043.0,109211.5,13836.916666666666,1.581666666666667,6.103333333333333,2.1458333333333335,72720,55673.0
Jharkhand,6181607.0,79.47,24.960000000000004,6.92,24,4685965.0,1504642.0,195248.54166666666,62693.416666666664,0.28833333333333333,3.31125,1.0400000000000003,150918,79714.0
Karnataka,13179911.0,142.56,70.73,23.499999999999996,30,7864196.0,5315715.0,262139.86666666667,177190.5,0.7833333333333332,4.752,2.357666666666667,603778,191791.0
Kerala,7716370.0,124.39,80.77999999999999,55.070000000000014,14,4095674.0,3620696.0,292548.14285714284,258621.14285714287,3.9335714285714296,8.885,5.769999999999999,364048,38863.0
Lakshadweep,10703.0,3.63,3.06,1.19,1,2523.0,8180.0,2523.0,8180.0,1.19,3.63,3.06,–,32.0
Madhya Pradesh,14967597.0,150.3,54.23000000000001,11.11,51,11122365.0,3845232.0,218085.58823529413,75396.70588235294,0.21784313725490195,2.947058823529412,1.0633333333333335,315561,308350.0
Maharashtra,23830580.0,209.13000000000002,117.01000000000003,25.07999999999999,35,13016652.0,10813928.0,371904.34285714285,308969.3714285714,0.7165714285714283,5.975142857142858,3.3431428571428583,1272967,307713.0
Manipur,507152.0,27.44,14.28,9.149999999999999,9,335752.0,171400.0,37305.77777777778,19044.444444444445,1.0166666666666666,3.048888888888889,1.5866666666666667,12915,22327.0
Meghalaya,538299.0,22.430000000000003,7.37,3.2399999999999993,11,422197.0,116102.0,38381.545454545456,10554.727272727272,0.2945454545454545,2.0390909090909095,0.67,19918,22429.0
Mizoram,221077.0,21.57,13.04,3.7,8,104874.0,116203.0,13109.25,14525.375,0.4625,2.69625,1.63,7259,21081.0
Nagaland,259485.0,21.939999999999998,10.950000000000001,4.91,7,167421.0,92064.0,23917.285714285714,13152.0,0.7014285714285714,3.134285714285714,1.5642857142857145,11839,16579.0
Odisha,9508631.0,123.02000000000002,35.06000000000001,13.290000000000003,29,7713028.0,1491847.0,265966.4827586207,51443.0,0.4582758620689656,4.242068965517242,1.2089655172413796,227872,155707.0
Puducherry,301276.0,24.65,19.96,2.73,4,95133.0,206143.0,23783.25,51535.75,0.6825,6.1625,4.99,16818,562.0
Punjab,5409699.0,187.38,97.69000000000001,42.420000000000016,22,3315632.0,2094067.0,150710.54545454544,95184.86363636363,1.9281818181818189,8.517272727272728,4.440454545454546,266628,50362.0
Rajasthan,12542742.0,106.24000000000004,30.29,10.939999999999998,33,9412829.0,3129913.0,285237.24242424243,94845.84848484848,0.33151515151515143,3.2193939393939406,0.9178787878787878,436465,342239.0
Telangana,8420662.0,55.38999999999999,36.19,4.710000000000001,10,5249286.0,3171376.0,524928.6,317137.6,0.4710000000000001,5.539,3.6189999999999998,–,112077.0
Tripura,842781.0,7.08,3.0300000000000002,1.51,8,607779.0,235002.0,75972.375,29375.25,0.18875,0.885,0.37875000000000003,19208,10486.0
Uttar Pradesh,32446572.0,256.64000000000004,114.59000000000003,47.65999999999999,74,25057194.0,7389378.0,338610.7297297297,99856.45945945945,0.6440540540540539,3.4681081081081087,1.548513513513514,724049,243290.0
Uttarakhand,1997098.0,69.25999999999999,27.069999999999993,14.040000000000001,13,1404845.0,592223.0,108065.0,45555.61538461538,1.08,5.327692307692307,2.0823076923076917,115523,53483.0
West Bengal,20067299.0,76.69999999999999,38.160000000000004,7.8500000000000005,20,13717186.0,6350113.0,685859.3,317505.65,0.3925,3.8349999999999995,1.9080000000000001,538209,88752.0
